subject;stimulus_identity
 61;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 62;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 63;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 66;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 70;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 71;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 72;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 73;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 74;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 75;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 76;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 82;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 83;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 84;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 85;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 86;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 88;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 89;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 91;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 92;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 93;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 95;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 96;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 99;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
100;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
103;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
104;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
106;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
107;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
108;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
111;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
113;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
115;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
117;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
118;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
119;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
120;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
124;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
125;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
131;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
132;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
133;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
134;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
135;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
137;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
139;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
140;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
141;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
142;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
147;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
150;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
152;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
153;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
155;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
156;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
157;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
158;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
159;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
160;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
163;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
167;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
172;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
174;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
175;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
180;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
182;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
