subject;phase;stimulus_identity;complete_data;mean_correct;sd_correct;training_performance
 28;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 28;extinction;NA;complete;1,000;0,0000000;Fail
 30;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 30;extinction;NA;complete;1,000;0,0000000;Fail
 32;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 32;extinction;NA;complete;1,000;0,0000000;Fail
 33;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
 35;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,400;0,5026247;Fail
 36;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,800;0,4103913;Fail
 37;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
 39;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,100;0,3077935;Fail
 43;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,450;0,5104178;Fail
 43;extinction;NA;complete;0,950;0,2236068;Fail
 45;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,950;0,2236068;Fail
 45;extinction;NA;complete;1,000;0,0000000;Fail
 47;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,550;0,5104178;Fail
 47;extinction;NA;complete;1,000;0,0000000;Fail
 49;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,800;0,4103913;Fail
 50;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 52;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 53;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 54;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,650;0,4893605;Fail
 55;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 56;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,650;0,4893605;Fail
 57;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 57;extinction;NA;complete;1,000;0,0000000;Fail
 61;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 61;extinction;NA;complete;0,950;0,2236068;Fail
 62;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,700;0,4701623;Fail
 62;extinction;NA;complete;1,000;0,0000000;Fail
 63;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 63;extinction;NA;complete;1,000;0,0000000;Fail
 66;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,850;0,3663475;Fail
 70;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
 71;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
 72;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,950;0,2236068;Fail
 73;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,800;0,4103913;Fail
 73;extinction;NA;complete;0,950;0,2236068;Fail
 74;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,800;0,4103913;Fail
 74;extinction;NA;complete;1,000;0,0000000;Fail
 75;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
 75;extinction;NA;complete;1,000;0,0000000;Fail
 76;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
 82;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 83;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,950;0,2236068;Fail
 84;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,950;0,2236068;Fail
 85;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,900;0,3077935;Fail
 86;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 88;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,800;0,4103913;Fail
 89;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 89;extinction;NA;complete;0,950;0,2236068;Fail
 91;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 91;extinction;NA;complete;1,000;0,0000000;Fail
 92;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 92;extinction;NA;complete;1,000;0,0000000;Fail
 93;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
 93;extinction;NA;complete;1,000;0,0000000;Fail
