subject;stimulus_identity;complete_data;mean_correct;sd_correct;training_performance
 96;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
 99;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
100;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,95;0,2236068;Pass
103;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
104;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
106;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
107;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,40;0,5026247;Fail
108;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
111;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,95;0,2236068;Pass
113;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
115;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
117;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,95;0,2236068;Pass
118;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
119;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
120;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,90;0,3077935;Pass
124;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
125;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,90;0,3077935;Pass
131;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
132;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,25;0,4442617;Fail
133;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,30;0,4701623;Fail
134;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,10;0,3077935;Fail
135;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
137;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,80;0,4103913;Pass
139;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,40;0,5026247;Fail
140;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,50;0,5129892;Fail
141;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;excess;0,95;0,2207214;Pass
142;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
147;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,90;0,3077935;Pass
150;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
152;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,70;0,4701623;Pass
153;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
155;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
156;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
157;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,95;0,2236068;Pass
158;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;1,00;0,0000000;Pass
159;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,95;0,2236068;Pass
160;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,90;0,3077935;Pass
163;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,30;0,4701623;Fail
167;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
172;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
174;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;0,25;0,4442617;Fail
175;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;complete;1,00;0,0000000;Pass
180;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,95;0,2236068;Pass
182;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;complete;0,95;0,2236068;Pass
