ID;IAT_D2;training_condition;IAT_order;Reverse_Scored_IAT_D2
135;-0,067730072;Extinction;Learning_Consistent_First;-0,067730072
136; 0,864147981;Acquisition_Only;Learning_Inconsistent_First;-0,864147981
137; 0,392971602;Acquisition_Only;Learning_Consistent_First; 0,392971602
137; 0,392971602;Counterconditioning;Learning_Consistent_First; 0,392971602
137; 0,392971602;Extinction;Learning_Consistent_First; 0,392971602
138;-0,263710546;Acquisition_Only;Learning_Inconsistent_First; 0,263710546
138;-0,263710546;Extinction;Learning_Inconsistent_First; 0,263710546
139;-0,202145515;Acquisition_Only;Learning_Consistent_First;-0,202145515
139;-0,202145515;Extinction;Learning_Consistent_First;-0,202145515
143; 0,089042759;Acquisition_Only;Learning_Consistent_First; 0,089042759
143; 0,089042759;Counterconditioning;Learning_Consistent_First; 0,089042759
143; 0,089042759;Extinction;Learning_Consistent_First; 0,089042759
144; 0,155141577;Acquisition_Only;Learning_Inconsistent_First;-0,155141577
146;-0,270466042;Acquisition_Only;Learning_Inconsistent_First; 0,270466042
146;-0,270466042;Extinction;Learning_Inconsistent_First; 0,270466042
147; 0,847276513;Acquisition_Only;Learning_Consistent_First; 0,847276513
147; 0,847276513;Extinction;Learning_Consistent_First; 0,847276513
149;-0,072726397;Acquisition_Only;Learning_Consistent_First;-0,072726397
149;-0,072726397;Extinction;Learning_Consistent_First;-0,072726397
150; 0,086063596;Acquisition_Only;Learning_Inconsistent_First;-0,086063596
151; 0,494344840;Acquisition_Only;Learning_Consistent_First; 0,494344840
151; 0,494344840;Counterconditioning;Learning_Consistent_First; 0,494344840
152;-0,249155618;Acquisition_Only;Learning_Inconsistent_First; 0,249155618
154; 0,164601698;Acquisition_Only;Learning_Inconsistent_First;-0,164601698
154; 0,164601698;Counterconditioning;Learning_Inconsistent_First;-0,164601698
154; 0,164601698;Extinction;Learning_Inconsistent_First;-0,164601698
156;-0,266688940;Acquisition_Only;Learning_Inconsistent_First; 0,266688940
156;-0,266688940;Extinction;Learning_Inconsistent_First; 0,266688940
157; 0,437963028;Acquisition_Only;Learning_Consistent_First; 0,437963028
157; 0,437963028;Counterconditioning;Learning_Consistent_First; 0,437963028
158; 0,011395222;Acquisition_Only;Learning_Inconsistent_First;-0,011395222
159; 0,429195901;Acquisition_Only;Learning_Consistent_First; 0,429195901
162; 0,644638528;Acquisition_Only;Learning_Inconsistent_First;-0,644638528
163; 0,345990643;Acquisition_Only;Learning_Consistent_First; 0,345990643
163; 0,345990643;Counterconditioning;Learning_Consistent_First; 0,345990643
164; 0,141257443;Acquisition_Only;Learning_Inconsistent_First;-0,141257443
164; 0,141257443;Extinction;Learning_Inconsistent_First;-0,141257443
165;-0,044491061;Acquisition_Only;Learning_Consistent_First;-0,044491061
165;-0,044491061;Extinction;Learning_Consistent_First;-0,044491061
168; 1,131547851;Acquisition_Only;Learning_Inconsistent_First;-1,131547851
169; 0,174080832;Acquisition_Only;Learning_Consistent_First; 0,174080832
169; 0,174080832;Counterconditioning;Learning_Consistent_First; 0,174080832
169; 0,174080832;Extinction;Learning_Consistent_First; 0,174080832
171; 0,311018568;Acquisition_Only;Learning_Consistent_First; 0,311018568
171; 0,311018568;Extinction;Learning_Consistent_First; 0,311018568
173;-0,097538689;Acquisition_Only;Learning_Consistent_First;-0,097538689
174;-0,153451324;Acquisition_Only;Learning_Inconsistent_First; 0,153451324
174;-0,153451324;Extinction;Learning_Inconsistent_First; 0,153451324
177; 0,013059595;Acquisition_Only;Learning_Consistent_First; 0,013059595
177; 0,013059595;Counterconditioning;Learning_Consistent_First; 0,013059595
178;-0,541940723;Acquisition_Only;Learning_Inconsistent_First; 0,541940723
178;-0,541940723;Extinction;Learning_Inconsistent_First; 0,541940723
179; 0,276060958;Acquisition_Only;Learning_Consistent_First; 0,276060958
179; 0,276060958;Extinction;Learning_Consistent_First; 0,276060958
181; 0,671368776;Acquisition_Only;Learning_Consistent_First; 0,671368776
182; 0,219704388;Acquisition_Only;Learning_Inconsistent_First;-0,219704388
182; 0,219704388;Extinction;Learning_Inconsistent_First;-0,219704388
183; 0,302633290;Acquisition_Only;Learning_Consistent_First; 0,302633290
183; 0,302633290;Extinction;Learning_Consistent_First; 0,302633290
184; 0,341897791;Acquisition_Only;Learning_Inconsistent_First;-0,341897791
184; 0,341897791;Extinction;Learning_Inconsistent_First;-0,341897791
186;-0,272086170;Acquisition_Only;Learning_Inconsistent_First; 0,272086170
186;-0,272086170;Extinction;Learning_Inconsistent_First; 0,272086170
187;-0,207510322;Acquisition_Only;Learning_Consistent_First;-0,207510322
