subject;training_condition;training_performance;stimulus_identity
 86;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 87;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 87;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 88;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 88;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 89;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 89;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 90;Acquisition_Only;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 91;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 92;Acquisition_Only;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 92;Extinction;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 93;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 94;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 94;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 94;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 95;Acquisition_Only;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 95;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 96;Acquisition_Only;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 96;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 96;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 97;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 98;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 99;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 99;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
100;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
100;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
101;Extinction;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
102;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
104;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
105;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
105;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
107;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
109;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
111;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
112;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
113;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
114;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
115;Counterconditioning;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
115;Extinction;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
117;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
118;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
119;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
120;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
121;Acquisition_Only;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
122;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
122;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
122;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
123;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
124;Acquisition_Only;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
124;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
125;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
125;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
126;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
126;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
127;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
127;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
128;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
128;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
129;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
130;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
130;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
131;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
131;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
132;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
132;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
132;Extinction;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
133;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
133;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
133;Extinction;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
134;Acquisition_Only;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
134;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
134;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
135;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
135;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
136;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
137;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
137;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
137;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
138;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
138;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
139;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
139;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
140;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
141;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
143;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
143;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
143;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
144;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
145;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
146;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
146;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
147;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
147;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
148;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
149;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
149;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
150;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
151;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
151;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
152;Acquisition_Only;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
154;Acquisition_Only;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
154;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
154;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
155;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
156;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
156;Extinction;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
157;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
157;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
158;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
159;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
160;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
162;Acquisition_Only;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
163;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
163;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
164;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
164;Extinction;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
165;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
165;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
166;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
167;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
168;Acquisition_Only;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
169;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
169;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
169;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
170;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
171;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
171;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
172;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
173;Acquisition_Only;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
174;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
