subject;block_number;training_condition;mean_correct;sd_correct;training_performance;block_type
 41;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 41;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 42;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 43;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 43;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 44;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 44;7;Extinction;0,95;0,2236068;Pass;Manipulation_Phase
 45;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 49;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 49;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 50;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 51;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 51;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 53;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 53;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 57;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 58;8;Extinction;0,30;0,4701623;Fail;Manipulation_Phase
 59;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 60;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 63;7;Extinction;0,95;0,2236068;Pass;Manipulation_Phase
 64;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 65;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 66;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 67;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 68;7;Extinction;0,90;0,3077935;Pass;Manipulation_Phase
 69;7;Extinction;0,95;0,2236068;Pass;Manipulation_Phase
 71;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 74;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 75;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 77;7;Extinction;0,95;0,2236068;Pass;Manipulation_Phase
 80;5;Counterconditioning;0,10;0,3077935;Fail;Manipulation_Phase
 83;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 86;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 87;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 88;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 89;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 89;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 91;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 92;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 94;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 94;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 95;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 96;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
 96;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
 99;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
100;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
101;8;Extinction;0,20;0,4103913;Fail;Manipulation_Phase
104;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
105;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
107;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
113;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
115;5;Counterconditioning;0,30;0,4701623;Fail;Manipulation_Phase
115;8;Extinction;0,55;0,5104178;Fail;Manipulation_Phase
